Article Title,DOI,FOR Category,Top Cited Rank,Citation Count,Date
The reproductive number of COVID-19 is higher compared to SARS coronavirus,10.1093/jtm/taaa021,"Commerce, Management, Tourism and Services",1,1910,2021-12-30
Financial markets under the global pandemic of COVID-19,10.1016/j.frl.2020.101528,"Commerce, Management, Tourism and Services",2,670,2021-12-30
Predicting the impacts of epidemic outbreaks on global supply chains: A simulation-based analysis on the coronavirus outbreak (COVID-19/SARS-CoV-2) case,10.1016/j.tre.2020.101922,"Commerce, Management, Tourism and Services",3,575,2021-12-30
Psychological Stress and Vocal Symptoms Among University Professors in Israel: Implications of the Shift to Online Synchronous Teaching During the COVID-19 Pandemic,10.1016/j.jvoice.2020.05.028,Studies in Creative Arts and Writing,1,44,2021-12-30
Science-related populism: Conceptualizing populist demands toward science,10.1177/0963662520924259,Studies in Creative Arts and Writing,2,37,2021-12-30
Effect of Wearing a Face Mask on Vocal Self-Perception during a Pandemic,10.1016/j.jvoice.2020.09.006,Studies in Creative Arts and Writing,3,30,2021-12-30
"Evidence of the COVID-19 Virus Targeting the CNS: Tissue Distribution, Host–Virus Interaction, and Proposed Neurotropic Mechanisms",10.1021/acschemneuro.0c00122,Chemical Sciences,1,1166,2021-12-30
Research and Development on Therapeutic Agents and Vaccines for COVID-19 and Related Human Coronavirus Diseases,10.1021/acscentsci.0c00272,Chemical Sciences,2,672,2021-12-30
Transmission of COVID-19 virus by droplets and aerosols: A critical review on the unresolved dichotomy,10.1016/j.envres.2020.109819,Chemical Sciences,3,442,2021-12-30
The effect of large-scale anti-contagion policies on the COVID-19 pandemic,10.1038/s41586-020-2404-8,Economics,1,672,2021-12-30
The Global Macroeconomic Impacts of COVID-19: Seven Scenarios,10.2139/ssrn.3547729,Economics,2,624,2021-12-30
Strong Social Distancing Measures In The United States Reduced The COVID-19 Growth Rate,10.1377/hlthaff.2020.00608,Economics,3,397,2021-12-30
Online Learning: A Panacea in the Time of COVID-19 Crisis,10.1177/0047239520934018,Education,1,638,2021-12-30
COVID‐19 and online teaching in higher education: A case study of Peking University,10.1002/hbe2.191,Education,2,564,2021-12-30
Education and the COVID-19 pandemic,10.1007/s11125-020-09464-3,Education,3,393,2021-12-30
"Digital tools against COVID-19: taxonomy, ethical challenges, and navigation aid",10.1016/s2589-7500(20)30137-0,Law and Legal Studies,1,100,2021-12-30
Predicting stock returns in the presence of COVID-19 pandemic: The role of health news,10.1016/j.irfa.2020.101546,Law and Legal Studies,2,87,2021-12-30
The impact of the Covid-19 pandemic in the precipitation of intimate partner violence,10.1016/j.ijlp.2020.101606,Law and Legal Studies,3,76,2021-12-30
Severe air pollution events not avoided by reduced anthropogenic activities during COVID-19 outbreak,10.1016/j.resconrec.2020.104814,Built Environment and Design,1,343,2021-12-30
Impacts of the COVID-19 Pandemic on Life of Higher Education Students: A Global Perspective,10.3390/su12208438,Built Environment and Design,2,250,2021-12-30
Does Density Aggravate the COVID-19 Pandemic?,10.1080/01944363.2020.1777891,Built Environment and Design,3,245,2021-12-30
Temporary reduction in daily global CO2 emissions during the COVID-19 forced confinement,10.1038/s41558-020-0797-x,Earth Sciences,1,746,2021-12-30
